;ôrgÅn ve Yaygçn Eßitim;Proje Dançümanlçßç;Fon Saßlama;Patentleme Hizmetleri;Giriüimcilik Hizmetleri;Kuluákalçk Hizmetleri;Ticarileütirme;ûirketleüme Hizmetleri;Risk Sermayesi;Uluslararasçlaüma hizmetleri
Akdeniz öniversitesi;1;1;NA;1;1;NA;1;NA;NA;1
Antalya Bilim öniversitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Alaattin Keykubat öniversitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Akev öniversitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Hamdullah Emin Paüa öniversitesi;1;1;NA;NA;1;NA;NA;NA;NA;NA
ALKö Teknoloji Transfer Ofisi Uygulama ve Araütçrma Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
Antalya Bilim öniversitesi Teknoloji Transfer Ofisi;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Batç Akdeniz Teknokenti Teknoloji Geliütirme Bîlgesi;NA;1;NA;1;1;NA;1;1;NA;1
Antalya OSB Teknopark;NA;1;NA;NA;1;1;NA;NA;NA;NA
Antalya OSB ;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Antalya Serbest Bîlge;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antalya Ticaret ve Sanayi Odasç;NA;1;NA;1;1;1;NA;NA;NA;NA
Manavgat Ticaret ve Sanayi Odasç;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Alanya Ticaret ve Sanayi Odasç;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Kumluca Ticaret ve Sanayi Odasç;NA;1;NA;NA;1;NA;NA;NA;NA;NA
Batç Akdeniz òhracatáçlar Birlißi;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
Antalya Teknokent Giriüimcilik ve Kuluáka Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
ASSòM Abdullah Sevimáok Sivil Toplum ve ònovasyon Merkezi;NA;1;NA;NA;1;1;NA;NA;NA;NA
BAKA;NA;1;1;NA;1;NA;NA;NA;NA;NA
KOSGEB Antalya òl MÅdÅrÅlÅßÅ;NA;1;1;NA;1;NA;1;NA;NA;NA
Sanayi ve Teknoloji Bakanlçßç Antalya òl  MÅdÅrlÅßÅ;NA;NA;1;NA;1;NA;NA;NA;NA;NA
TöBòTAK;NA;NA;1;NA;1;NA;NA;NA;NA;NA
Tarçm ve Orman Bakanlçßç Antalya òl  MÅdÅrlÅßÅ;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
Ticaret Bakanlçßç Antalya òl MÅdÅrÅlÅßÅ;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
ANSòAD;NA;1;1;NA;1;NA;NA;NA;NA;NA
ANTGòAD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TöMSòAD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ahüap Teknolojileri Uygulama ve Araütçrma Merkezi (ATAUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Antalya Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AtatÅrk òlkeleri ve ònkçlap Tarihi Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Avrupa Akdeniz Genálik Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bilgisayar Bilimleri Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Biyolojik Äeüitlilik Araütçrma Geliütirme ve Uygulama Merkezi (AK- BòYOM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Äevre Sorunlarç Araütçrma ve Uygulama Merkezi (AKÄAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eßitim Teknolojileri Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eßitim ve ôßretimde MÅkemmellik Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EndÅstriyel ve Medikal Uygulamalar Mikrodalga Uygulama ve Araütçrma Merkezi (EMUMUAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gen ve HÅcre Tedavisi Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gçda GÅvenlißi ve Tarçmsal Araütçrmalar Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Havacçlçk Uygulama ve Araütçrma Merkezi (AKHUMER);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
òntegratif Tçp Yîntemleri Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
òstatistik Dançümanlçk Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NÅkleer Bilimler Uygulama Ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Organ Nakli Eßitim, Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ôláme ve Deßerlendirme Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Proje Geliütirme, Uygulama ve Araütçrma Merkezi (APGEM);NA;1;NA;NA;1;NA;NA;NA;NA;NA
Saßlçk Bilimleri Araütçrma ve Uygulama Merkezi (SBAUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saßlçk Turizmi ve Talassoterapi Eßitim, Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saßlçk, Araütçrma ve Uygulama Merkezi(öniversite Hastanesi);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sera Teknolojileri Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Stratejik Araütçrmalar Merkezi (AKSAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Teknoloji Transferi Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Temiz Enerji Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tohumculuk ve Tarçmsal Biyoteknoloji Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turizm Araütçrma, Geliütirme ve Uygulama Merkezi (TAGUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Algçlama Araütçrma ve Uygulama Merkezi (AKUZAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Eßitim Uygulama ve Araütçrma Merkezi (AKUZEM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
